Index	Chr	Start	End	SV_size	SV_Cat	L_Cov	L_Cov_sd	L_Cov_pro	L_Mapping_q	L_Mapping_q_sd	L_Mapping_pro	L_Mapping_10_percentile	L_Mapping_90_percentile	L_Soft	L_Soft_sd	L_Soft_pro	L_Soft_10_percentile	L_Soft_90_percentile	L_Del	L_Del_sd	L_Del_10_percentile	L_Del_90_percentile	L_Ins	L_Ins_sd	L_Ins_10_percentile	L_Ins_90_percentile	L_Diff	L_Diff_sd	L_Diff_10_percentile	L_Diff_90_percentile	LM_Cov	LM_Cov_sd	LM_Cov_pro	LM_Mapping_q	LM_Mapping_q_sd	LM_Mapping_pro	LM_Mapping_10_percentile	LM_Mapping_90_percentile	LM_Soft	LM_Soft_sd	LM_Soft_pro	LM_Soft_10_percentile	LM_Soft_90_percentile	LM_Del	LM_Del_sd	LM_Del_10_percentile	LM_Del_90_percentile	LM_Ins	LM_Ins_sd	LM_Ins_10_percentile	LM_Ins_90_percentile	LM_Diff	LM_Diff_sd	LM_Diff_10_percentile	LM_Diff_90_percentile	M_Cov	M_Cov_sd	M_Cov_pro	M_Mapping_q	M_Mapping_q_sd	M_Mapping_pro	M_Mapping_10_percentile	M_Mapping_90_percentile	M_Soft	M_Soft_sd	M_Soft_pro	M_Soft_10_percentile	M_Soft_90_percentile	M_Del	M_Del_sd	M_Del_10_percentile	M_Del_90_percentile	M_Ins	M_Ins_sd	M_Ins_10_percentile	M_Ins_90_percentile	M_Diff	M_Diff_sd	M_Diff_10_percentile	M_Diff_90_percentile	M_Cov_Cat	M_Homvar	M_Homvar_SV	M_Hetvar	M_Hetvar_SV	M_GCcontent	M_Sine_Line_Ltr_SV	M_Simple_Low_Satellite_SV	RM_Cov	RM_Cov_sd	RM_Cov_pro	RM_Mapping_q	RM_Mapping_q_sd	RM_Mapping_pro	RM_Mapping_10_percentile	RM_Mapping_90_percentile	RM_Soft	RM_Soft_sd	RM_Soft_pro	RM_Soft_10_percentile	RM_Soft_90_percentile	RM_Del	RM_Del_sd	RM_Del_10_percentile	RM_Del_90_percentile	RM_Ins	RM_Ins_sd	RM_Ins_10_percentile	RM_Ins_90_percentile	RM_Diff	RM_Diff_sd	RM_Diff_10_percentile	RM_Diff_90_percentile	R_Cov	R_Cov_sd	R_Cov_pro	R_Mapping_q	R_Mapping_q_sd	R_Mapping_pro	R_Mapping_10_percentile	R_Mapping_90_percentile	R_Soft	R_Soft_sd	R_Soft_pro	R_Soft_10_percentile	R_Soft_90_percentile	R_Del	R_Del_sd	R_Del_10_percentile	R_Del_90_percentile	R_Ins	R_Ins_sd	R_Ins_10_percentile	R_Ins_90_percentile	R_Diff	R_Diff_sd	R_Diff_10_percentile	R_Diff_90_percentile
1	1	3330910	3331753	843	1	1	0	1	60	0	0	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	60	0	0	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	60	0	0	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.001185	1	0.001185	0.657583	0	0	1	0	1	60	0	0	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.373219	0.48435	1	60	0	0	60	60	0	0	0	0	0	0.5	0.707107	0	1	0	0	0	0	-0.5	0.707107	-1	0
2	1	8660938	8661104	166	1	21.902857	6.333767	0.014286	60	0	0	60	60	56.606061	325.177061	0.030303	0	0	4.090909	4.989762	0	8	1.121212	2.073005	0	4	-2.969697	3.754038	-6	0	10.315476	3.895552	0.011905	60	0	0	60	60	98.315789	428.548591	0.052632	0	0	9.473684	7.603862	2	23	3.105263	3.928454	0	11	-6.368421	4.716526	-17	-1	10.315476	3.895552	0.011905	60	0	0	60	60	98.315789	428.548591	0.052632	0	0	9.473684	7.603862	2	23	3.105263	3.928454	0	11	-6.368421	4.716526	-17	-1	0	0	0	0	0	0.467066	0.994012	0	10.315476	3.895552	0.011905	60	0	0	60	60	98.315789	428.548591	0.052632	0	0	9.473684	7.603862	2	23	3.105263	3.928454	0	11	-6.368421	4.716526	-17	-1	11.555556	1.816328	0	60	0	0	60	60	0	0	0	0	0	17.125	10.874282	2	27	6.3125	4.190764	1	11	-10.8125	10.425729	-22	-1
3	1	10928376	10928689	313	1	2.808571	0.768607	1	60	0	0	60	60	0	0	0	0	0	0	0	0	0	1.25	0.5	1	2	1.25	0.5	1	2	4.6	0.490677	1	60	0	0	60	60	0	0	0	0	0	0	0	0	0	1	0.707107	0	2	1	0.707107	0	2	4.6	0.490677	1	60	0	0	60	60	0	0	0	0	0	0	0	0	0	1	0.707107	0	2	1	0.707107	0	2	0	0	0	0	0	0.557325	0.433121	0	4.6	0.490677	1	60	0	0	60	60	0	0	0	0	0	0	0	0	0	1	0.707107	0	2	1	0.707107	0	2	5.703704	0.457275	0.296296	60	0	0	60	60	0	0	0	0	0	0.166667	0.408248	0	1	1.166667	0.752773	0	2	1	0.632456	0	2
4	1	11574780	11575114	334	1	30.46	0.499111	0	60	0	0	60	60	1.647059	6.992994	0.058824	0	0	1.647059	0.949716	0	3	7.941176	9.071905	0	18	6.294118	8.736997	-2	16	29.907738	0.289827	0	60	0	0	60	60	1.75	7.20215	0.0625	0	0	1.5625	0.981687	0	3	7.875	9.07229	0	18	6.3125	8.726813	-2	16	29.907738	0.289827	0	60	0	0	60	60	1.75	7.20215	0.0625	0	0	1.5625	0.981687	0	3	7.875	9.07229	0	18	6.3125	8.726813	-2	16	1	0	0	2	0.00597	0.483582	0.113433	0	29.907738	0.289827	0	60	0	0	60	60	1.75	7.20215	0.0625	0	0	1.5625	0.981687	0	3	7.875	9.07229	0	18	6.3125	8.726813	-2	16	30.270655	0.444933	0	60	0	0	60	60	1.75	7.20215	0.0625	0	0	1.5	1.016001	0	3	7.3125	8.981837	0	18	5.8125	8.611461	-2	16
5	1	11888127	11888783	656	1	21.594286	0.776423	0	55.48	15.644807	0	60	60	241.08	406.204989	0.36	0	936	43.88	62.851889	0	160	16.08	15.440531	0	30	-27.8	66.056794	-130	30	25.094017	1.050031	0	56.103448	14.570873	0	60	60	207.827586	385.471517	0.310345	0	936	45.551724	59.814945	0	160	13.862069	15.368623	0	30	-31.689655	63.338717	-130	30	25.258359	0.856597	0	56.233333	14.335111	0	60	60	200.9	380.662974	0.3	0	931	49.366667	62.378424	0	160	13.4	15.311929	0	30	-35.966667	66.499927	-160	30	1	0	0	1	0.001522	0.526636	0	0	25.390313	0.488517	0	56.103448	14.570873	0	60	60	207.827586	385.471517	0.310345	0	936	50.931034	62.880801	0	160	13.862069	15.368623	0	30	-37.068966	67.397505	-160	30	25.108262	0.311155	0	56.354839	14.110394	0	60	60	194.419355	376.000157	0.290323	0	931	48.677419	61.510642	0	160	12.967742	15.245729	0	30	-35.709677	65.454918	-130	30
6	1	14289835	14291289	1454	2	47.091429	0.28863	0	60	0	0	60	60	0.270833	1.876388	0.020833	0	0	15.875	9.977901	4	28	0.104167	0.308709	0	1	-15.770833	10.05779	-28	-4	47.960114	0.735705	0	60	0	0	60	60	0.265306	1.857143	0.020408	0	0	16.22449	9.834602	4	28	0.081633	0.276642	0	0	-16.142857	9.882645	-28	-4	47.600275	2.992472	0.002747	60	0	0	60	60	0.482143	2.529758	0.035714	0	0	17.178571	9.746061	4	28	0.071429	0.25987	0	0	-17.107143	9.795507	-28	-4	2	3	0.002062	3	0.002062	0.426117	0.674914	0.030928	46.079772	1.100346	0	60	0	0	60	60	0.285714	2	0.020408	0	0	18.857143	9.25788	5	30	0.061224	0.242226	0	0	-18.795918	9.302732	-30	-5	42.991453	0.969498	0	60	0	0	60	60	0.318182	2.110579	0.022727	0	0	20.272727	8.657202	6	30	0.068182	0.254972	0	0	-20.204545	8.722011	-30	-6
7	1	14982175	14984238	2063	2	11.288571	0.87933	0	60	0	0	60	60	70.071429	262.183278	0.071429	0	0	1.071429	1.141139	0	3	0.142857	0.534522	0	0	-0.928571	1.268814	-3	0	13.754986	0.43071	0	60	0	0	60	60	70.071429	262.183278	0.071429	0	0	1.142857	1.167321	0	3	0.142857	0.534522	0	0	-1	1.300887	-3	0	12.169976	2.076229	0.000969	58.789474	5.276562	0	60	60	51.631579	225.056835	0.052632	0	0	1	1.105542	0	3	0.105263	0.458831	0	0	-0.894737	1.196975	-3	0	0	0	0	1	0.000484	0.516957	0.671027	0	10	0	0	60	0	0	60	60	98.1	310.219438	0.1	0	0	1.5	1.178511	0	3	0.2	0.632456	0	0	-1.3	1.418136	-3	0	10	0	0	60	0	0	60	60	98.1	310.219438	0.1	0	0	1.5	1.178511	0	3	0.2	0.632456	0	0	-1.3	1.418136	-3	0
8	1	19364170	19365468	1298	2	16.285714	0.452401	0	60	0	0	60	60	0.555556	2.357023	0.055556	0	0	0.055556	0.235702	0	0	2.166667	1.947849	0	4	2.111111	2.025975	0	4	16.77208	0.42009	0	60	0	0	60	60	0.555556	2.357023	0.055556	0	0	0.055556	0.235702	0	0	2.166667	1.947849	0	4	2.111111	2.025975	0	4	17.29	0.587049	0	60	0	0	60	60	0.47619	2.182179	0.047619	0	0	0.047619	0.218218	0	0	1.952381	1.909874	0	4	1.904762	1.972429	0	4	1	1	0.00077	1	0.00077	0.535027	0.163202	0	17.581197	0.548858	0	60	0	0	60	60	0.526316	2.294157	0.052632	0	0	0.052632	0.229416	0	0	2.105263	1.94064	0	4	2.052632	2.013115	0	4	19.071225	0.257568	0	60	0	0	60	60	0.5	2.236068	0.05	0	0	0.05	0.223607	0	0	2.2	1.935812	0	4	2.15	2.007224	0	4
9	1	20534278	20534573	295	1	28.397143	0.872695	0	60	0	0	60	60	0.818182	4.354987	0.030303	0	0	1.878788	2.24663	0	6	1.242424	2.278024	0	6	-0.636364	2.66714	-4	3	30.383838	0.702896	0	60	0	0	60	60	0.794118	4.290789	0.029412	0	0	2.029412	2.302637	0	6	1.235294	2.243628	0	6	-0.794118	2.727852	-4	3	30.383838	0.702896	0	60	0	0	60	60	0.794118	4.290789	0.029412	0	0	2.029412	2.302637	0	6	1.235294	2.243628	0	6	-0.794118	2.727852	-4	3	1	0	0	0	0	0.412162	0.351351	0	30.383838	0.702896	0	60	0	0	60	60	0.794118	4.290789	0.029412	0	0	2.029412	2.302637	0	6	1.235294	2.243628	0	6	-0.794118	2.727852	-4	3	33.290598	0.729695	0	60	0	0	60	60	0.75	4.170474	0.027778	0	0	2.166667	2.546707	0	6	1.194444	2.188534	0	6	-0.972222	2.912889	-5	3
10	1	23974649	23974914	265	1	23.082857	0.750544	0	60	0	0	60	60	39.76	198.8	0.04	0	0	0.76	0.969536	0	2	0.6	1.290994	0	3	-0.16	1.624808	-2	2	23.370787	1.026513	0	60	0	0	60	60	91.769231	452.479773	0.076923	0	0	1.038462	1.21592	0	3	1.153846	2.185265	0	4	0.115385	1.986493	-2	4	23.370787	1.026513	0	60	0	0	60	60	91.769231	452.479773	0.076923	0	0	1.038462	1.21592	0	3	1.153846	2.185265	0	4	0.115385	1.986493	-2	4	1	0	0	0	0	0.492481	1	0	23.370787	1.026513	0	60	0	0	60	60	91.769231	452.479773	0.076923	0	0	1.038462	1.21592	0	3	1.153846	2.185265	0	4	0.115385	1.986493	-2	4	21.509972	0.824127	0	60	0	0	60	60	103.73913	480.997469	0.086957	0	0	1.043478	1.260529	0	3	1.304348	2.285026	0	4	0.26087	2.049776	-2	4
11	1	24059017	24059288	271	1	17.537143	0.499332	0	60	0	0	60	60	51.789474	209.856983	0.105263	0	68	10.052632	14.619142	0	35	2.473684	1.954153	0	5	-7.578947	14.00522	-32	4	17	0	0	60	0	0	60	60	54.666667	215.555097	0.111111	0	68	8.444444	13.200812	0	35	2.444444	2.006525	0	5	-6	12.551072	-28	4	17	0	0	60	0	0	60	60	54.666667	215.555097	0.111111	0	68	8.444444	13.200812	0	35	2.444444	2.006525	0	5	-6	12.551072	-28	4	1	0	0	0	0	0.444853	0.746324	0	17	0	0	60	0	0	60	60	54.666667	215.555097	0.111111	0	68	8.444444	13.200812	0	35	2.444444	2.006525	0	5	-6	12.551072	-28	4	16.173789	0.379469	0	57	13.416408	0.05	60	60	49.2	204.587801	0.1	0	0	7.75	12.677684	0	25	2.2	2.041671	0	4	-5.55	11.962551	-28	3
12	1	24226070	24228891	2821	2	2.24	0.427695	1	60	0	0	60	60	0	0	0	0	0	10	6.218253	1	15	12.25	12.737739	3	31	2.25	11.954776	-8	18	1.754986	0.437293	1	60	0	0	60	60	0	0	0	0	0	9.666667	7.571878	1	15	15.333333	13.650397	6	31	5.666667	12.013881	-6	18	3.329791	0.910597	1	60	0	0	60	60	0	0	0	0	0	10.428571	6.241184	1	16	7.142857	10.991339	1	31	-3.285714	11.729085	-15	18	0	27	0.009568	15	0.005315	0.518072	0.419206	0.059178	3.222222	0.783156	1	60	0	0	60	60	0	0	0	0	0	11	6.218253	2	16	1	0	1	1	-10	6.218253	-15	-1	1.681481	0.467637	1	60	0	0	60	60	0	0	0	0	0	14	2.828427	12	16	1	0	1	1	-13	2.828427	-15	-11
13	1	26265935	26266260	325	1	16.62	5.811869	0	60	0	0	60	60	0.678571	3.590662	0.035714	0	0	1.821429	4.154904	0	5	2.035714	2.808481	0	6	0.214286	4.524478	-1	6	28.941896	1.223362	0	60	0	0	60	60	0.59375	3.358757	0.03125	0	0	1.71875	3.936876	0	4	1.8125	2.693331	0	6	0.09375	4.260542	-1	4	28.941896	1.223362	0	60	0	0	60	60	0.59375	3.358757	0.03125	0	0	1.71875	3.936876	0	4	1.8125	2.693331	0	6	0.09375	4.260542	-1	4	1	0	0	2	0.006135	0.365031	0.996933	0	28.941896	1.223362	0	60	0	0	60	60	0.59375	3.358757	0.03125	0	0	1.71875	3.936876	0	4	1.8125	2.693331	0	6	0.09375	4.260542	-1	4	31.894587	0.972625	0	60	0	0	60	60	0.542857	3.211586	0.028571	0	0	1.714286	3.823853	0	5	1.714286	2.607359	0	6	0	4.10165	-2	4
14	1	27257224	27257532	308	1	18.348571	2.792476	0	60	0	0	60	60	0.5	2.236068	0.05	0	0	2.05	2.038446	0	5	3	3.371709	0	9	0.95	3.913203	-5	6	8.429032	0.672961	0	60	0	0	60	60	0	0	0	0	0	3.181818	2.040499	1	5	3.363636	3.500649	0	9	0.181818	4.354726	-5	6	8.429032	0.672961	0	60	0	0	60	60	0	0	0	0	0	3.181818	2.040499	1	5	3.363636	3.500649	0	9	0.181818	4.354726	-5	6	0	0	0	0	0	0.527508	0.990291	0	8.429032	0.672961	0	60	0	0	60	60	0	0	0	0	0	3.181818	2.040499	1	5	3.363636	3.500649	0	9	0.181818	4.354726	-5	6	5.267806	1.421092	0.62963	60	0	0	60	60	0	0	0	0	0	3.428571	2.149197	1	7	2.571429	3.309438	0	9	-0.857143	4.336995	-7	6
