Index	Chr	Start	End	SV_size	SV_Cat	L_Cov	L_Cov_sd	L_Cov_pro	L_Mapping_q	L_Mapping_q_sd	L_Mapping_pro	L_Mapping_10_percentile	L_Mapping_90_percentile	L_Soft	L_Soft_sd	L_Soft_pro	L_Soft_10_percentile	L_Soft_90_percentile	L_Del	L_Del_sd	L_Del_10_percentile	L_Del_90_percentile	L_Ins	L_Ins_sd	L_Ins_10_percentile	L_Ins_90_percentile	L_Diff	L_Diff_sd	L_Diff_10_percentile	L_Diff_90_percentile	LM_Cov	LM_Cov_sd	LM_Cov_pro	LM_Mapping_q	LM_Mapping_q_sd	LM_Mapping_pro	LM_Mapping_10_percentile	LM_Mapping_90_percentile	LM_Soft	LM_Soft_sd	LM_Soft_pro	LM_Soft_10_percentile	LM_Soft_90_percentile	LM_Del	LM_Del_sd	LM_Del_10_percentile	LM_Del_90_percentile	LM_Ins	LM_Ins_sd	LM_Ins_10_percentile	LM_Ins_90_percentile	LM_Diff	LM_Diff_sd	LM_Diff_10_percentile	LM_Diff_90_percentile	M_Cov	M_Cov_sd	M_Cov_pro	M_Mapping_q	M_Mapping_q_sd	M_Mapping_pro	M_Mapping_10_percentile	M_Mapping_90_percentile	M_Soft	M_Soft_sd	M_Soft_pro	M_Soft_10_percentile	M_Soft_90_percentile	M_Del	M_Del_sd	M_Del_10_percentile	M_Del_90_percentile	M_Ins	M_Ins_sd	M_Ins_10_percentile	M_Ins_90_percentile	M_Diff	M_Diff_sd	M_Diff_10_percentile	M_Diff_90_percentile	M_Cov_Cat	M_Homvar	M_Homvar_SV	M_Hetvar	M_Hetvar_SV	M_GCcontent	M_Sine_Line_Ltr_SV	M_Simple_Low_Satellite_SV	RM_Cov	RM_Cov_sd	RM_Cov_pro	RM_Mapping_q	RM_Mapping_q_sd	RM_Mapping_pro	RM_Mapping_10_percentile	RM_Mapping_90_percentile	RM_Soft	RM_Soft_sd	RM_Soft_pro	RM_Soft_10_percentile	RM_Soft_90_percentile	RM_Del	RM_Del_sd	RM_Del_10_percentile	RM_Del_90_percentile	RM_Ins	RM_Ins_sd	RM_Ins_10_percentile	RM_Ins_90_percentile	RM_Diff	RM_Diff_sd	RM_Diff_10_percentile	RM_Diff_90_percentile	R_Cov	R_Cov_sd	R_Cov_pro	R_Mapping_q	R_Mapping_q_sd	R_Mapping_pro	R_Mapping_10_percentile	R_Mapping_90_percentile	R_Soft	R_Soft_sd	R_Soft_pro	R_Soft_10_percentile	R_Soft_90_percentile	R_Del	R_Del_sd	R_Del_10_percentile	R_Del_90_percentile	R_Ins	R_Ins_sd	R_Ins_10_percentile	R_Ins_90_percentile	R_Diff	R_Diff_sd	R_Diff_10_percentile	R_Diff_90_percentile
1	1	584262	584314	52	0	78.308571	0.850879	0	3.390244	9.539723	0.402439	0	4	1.256098	8.058139	0.036585	0	0	5.829268	8.480631	0	17	0.658537	1.7229	0	2	-5.170732	7.750436	-17	0	75.277778	0.452109	0	3.35443	9.719183	0.417722	0	4	1.303797	8.207805	0.037975	0	0	6	8.593378	0	27	0.683544	1.750782	0	2	-5.316456	7.858597	-19	0	75.277778	0.452109	0	3.35443	9.719183	0.417722	0	4	1.303797	8.207805	0.037975	0	0	6	8.593378	0	27	0.683544	1.750782	0	2	-5.316456	7.858597	-19	0	2	0	0	0	0	0.339623	1	0	75.277778	0.452109	0	3.35443	9.719183	0.417722	0	4	1.303797	8.207805	0.037975	0	0	6	8.593378	0	27	0.683544	1.750782	0	2	-5.316456	7.858597	-19	0	74.19943	1.585686	0	3.382716	9.598916	0.407407	0	4	1.271605	8.107115	0.037037	0	0	5.82716	8.543697	0	17	0.740741	1.828782	0	2	-5.08642	7.877496	-17	0
2	1	642337	642389	52	0	63.205714	0.613106	0	1.671875	1.403563	0.25	0	3	0	0	0	0	0	0.28125	0.453163	0	1	0.046875	0.213042	0	0	-0.234375	0.526811	-1	0	61.592593	0.495966	0	1.629032	1.39359	0.258065	0	3	0	0	0	0	0	0.274194	0.449749	0	1	0.048387	0.216335	0	0	-0.225806	0.525399	-1	0	61.592593	0.495966	0	1.629032	1.39359	0.258065	0	3	0	0	0	0	0	0.274194	0.449749	0	1	0.048387	0.216335	0	0	-0.225806	0.525399	-1	0	2	0	0	0	0	0.358491	1	0	61.592593	0.495966	0	1.629032	1.39359	0.258065	0	3	0	0	0	0	0	0.274194	0.449749	0	1	0.048387	0.216335	0	0	-0.225806	0.525399	-1	0	58.518519	2.41284	0	1.655738	1.389067	0.245902	0	3	0	0	0	0	0	0.278689	0.452075	0	1	0.04918	0.218039	0	0	-0.229508	0.528944	-1	0
3	1	1233857	1233910	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	60	0	0	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	60	0	0	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.796296	0	0	1	0	1	60	0	0	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	60	0	0	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	2978779	2978840	61	0	1.588571	0.492797	1	60	0	0	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	60	0	0	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	60	0	0	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.709677	0	0	1	0	1	60	0	0	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	60	0	0	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1	4134436	4134502	66	0	18.125714	1.002102	0	60	0	0	60	60	35.55	158.984433	0.05	0	0	6.25	19.243249	0	0	4.7	13.665554	0	7	-1.55	7.044782	-10	0	20.382353	0.810922	0	60	0	0	60	60	34.409091	151.435876	0.090909	0	0	5.681818	18.396134	0	0	4.272727	13.071896	0	7	-1.409091	6.716427	0	0	20.382353	0.810922	0	60	0	0	60	60	34.409091	151.435876	0.090909	0	0	5.681818	18.396134	0	0	4.272727	13.071896	0	7	-1.409091	6.716427	0	0	1	0	0	0	0	0.402985	0	0	20.382353	0.810922	0	60	0	0	60	60	34.409091	151.435876	0.090909	0	0	5.681818	18.396134	0	0	4.272727	13.071896	0	7	-1.409091	6.716427	0	0	22.575499	0.810202	0	57.8	11	0	60	60	76.36	265.280493	0.12	0	46	5	17.310883	0	0	3.76	12.309481	0	7	-1.24	6.3	0	0
6	1	5291568	5291639	71	0	25.991429	1.581569	0.002857	60	0	0	60	60	0.571429	3.023716	0.035714	0	0	2.642857	1.253566	1	4	1.785714	3.634782	0	12	-0.857143	3.778245	-4	8	27.972603	1.312045	0	60	0	0	60	60	0.533333	2.921187	0.033333	0	0	2.4	1.452703	0	4	1.633333	3.547542	0	1	-0.766667	3.654787	-4	0	27.972603	1.312045	0	60	0	0	60	60	0.533333	2.921187	0.033333	0	0	2.4	1.452703	0	4	1.633333	3.547542	0	1	-0.766667	3.654787	-4	0	1	0	0	0	0	0.430556	0	0	27.972603	1.312045	0	60	0	0	60	60	0.533333	2.921187	0.033333	0	0	2.4	1.452703	0	4	1.633333	3.547542	0	1	-0.766667	3.654787	-4	0	31.712251	0.550162	0	60	0	0	60	60	0.484848	2.785242	0.030303	0	0	2.181818	1.550293	0	4	1.484848	3.410656	0	1	-0.69697	3.486446	-3	0
7	1	6046677	6046751	74	0	21	0	0	60	0	0	60	60	0.190476	0.872872	0	0	0	4.809524	14.695642	0	1	0	0	0	0	-4.809524	14.695642	-1	0	21	0	0	60	0	0	60	60	0.190476	0.872872	0	0	0	4.809524	14.695642	0	1	0	0	0	0	-4.809524	14.695642	-1	0	21	0	0	60	0	0	60	60	0.190476	0.872872	0	0	0	4.809524	14.695642	0	1	0	0	0	0	-4.809524	14.695642	-1	0	1	0	0	0	0	0.44	0	0	21	0	0	60	0	0	60	60	0.190476	0.872872	0	0	0	4.809524	14.695642	0	1	0	0	0	0	-4.809524	14.695642	-1	0	20.672365	0.470021	0	60	0	0	60	60	0.190476	0.872872	0	0	0	4.809524	14.695642	0	1	0	0	0	0	-4.809524	14.695642	-1	0
8	1	6262723	6262798	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.513158	1	0	0	0	0	13	0	0	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5	9.192388	0.5	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1	8974590	8974678	88	0	9.637143	2.938197	0	60	0	0	60	60	2	8.246211	0.058824	0	0	1	1.369306	0	3	0.294118	1.212678	0	0	-0.705882	1.829095	-3	0	15	0	0	60	0	0	60	60	2.266667	8.778762	0.066667	0	0	0.8	1.320173	0	2	0.333333	1.290994	0	0	-0.466667	1.807392	-2	0	15	0	0	60	0	0	60	60	2.266667	8.778762	0.066667	0	0	0.8	1.320173	0	2	0.333333	1.290994	0	0	-0.466667	1.807392	-2	0	0	0	0	0	0	0.348315	1	0	15	0	0	60	0	0	60	60	2.266667	8.778762	0.066667	0	0	0.8	1.320173	0	2	0.333333	1.290994	0	0	-0.466667	1.807392	-2	0	17.273504	1.306843	0	60	0	0	60	60	1.7	7.602631	0.05	0	0	0.65	1.182103	0	1	0.25	1.118034	0	0	-0.4	1.569445	-2	0
10	1	9607983	9608074	91	0	23.991429	0.119386	0	60	0	0	60	60	5.16	16.461268	0.12	0	18	0.56	0.960902	0	2	0.04	0.2	0	0	-0.52	0.962635	-2	0	24	0	0	60	0	0	60	60	5.16	16.461268	0.12	0	18	0.56	0.960902	0	2	0.04	0.2	0	0	-0.52	0.962635	-2	0	24	0	0	60	0	0	60	60	5.16	16.461268	0.12	0	18	0.56	0.960902	0	2	0.04	0.2	0	0	-0.52	0.962635	-2	0	1	0	0	0	0	0.619565	1	0	24	0	0	60	0	0	60	60	5.16	16.461268	0.12	0	18	0.56	0.960902	0	2	0.04	0.2	0	0	-0.52	0.962635	-2	0	22.438746	0.941781	0	60	0	0	60	60	5.16	16.461268	0.12	0	18	0.56	0.960902	0	2	0.04	0.2	0	0	-0.52	0.962635	-2	0
