Index	Chr	Start	End	SV_size	SV_Cat	Info	L_Cov	L_Cov_sd	L_Cov_pro	L_Mapping_q	L_Mapping_q_sd	L_Mapping_pro	L_Mapping_10_percentile	L_Mapping_90_percentile	L_Soft	L_Soft_sd	L_Soft_pro	L_Soft_10_percentile	L_Soft_90_percentile	L_Del	L_Del_sd	L_Del_10_percentile	L_Del_90_percentile	L_Ins	L_Ins_sd	L_Ins_10_percentile	L_Ins_90_percentile	L_Diff	L_Diff_sd	L_Diff_10_percentile	L_Diff_90_percentile	LM_Cov	LM_Cov_sd	LM_Cov_pro	LM_Mapping_q	LM_Mapping_q_sd	LM_Mapping_pro	LM_Mapping_10_percentile	LM_Mapping_90_percentile	LM_Soft	LM_Soft_sd	LM_Soft_pro	LM_Soft_10_percentile	LM_Soft_90_percentile	LM_Del	LM_Del_sd	LM_Del_10_percentile	LM_Del_90_percentile	LM_Ins	LM_Ins_sd	LM_Ins_10_percentile	LM_Ins_90_percentile	LM_Diff	LM_Diff_sd	LM_Diff_10_percentile	LM_Diff_90_percentile	M_Cov	M_Cov_sd	M_Cov_pro	M_Mapping_q	M_Mapping_q_sd	M_Mapping_pro	M_Mapping_10_percentile	M_Mapping_90_percentile	M_Soft	M_Soft_sd	M_Soft_pro	M_Soft_10_percentile	M_Soft_90_percentile	M_Del	M_Del_sd	M_Del_10_percentile	M_Del_90_percentile	M_Ins	M_Ins_sd	M_Ins_10_percentile	M_Ins_90_percentile	M_Diff	M_Diff_sd	M_Diff_10_percentile	M_Diff_90_percentile	M_Cov_Cat	M_Homvar	M_Homvar_SV	M_Hetvar	M_Hetvar_SV	M_GCcontent	M_Sine_Line_Ltr_SV	M_Simple_Low_Satellite_SV	RM_Cov	RM_Cov_sd	RM_Cov_pro	RM_Mapping_q	RM_Mapping_q_sd	RM_Mapping_pro	RM_Mapping_10_percentile	RM_Mapping_90_percentile	RM_Soft	RM_Soft_sd	RM_Soft_pro	RM_Soft_10_percentile	RM_Soft_90_percentile	RM_Del	RM_Del_sd	RM_Del_10_percentile	RM_Del_90_percentile	RM_Ins	RM_Ins_sd	RM_Ins_10_percentile	RM_Ins_90_percentile	RM_Diff	RM_Diff_sd	RM_Diff_10_percentile	RM_Diff_90_percentile	R_Cov	R_Cov_sd	R_Cov_pro	R_Mapping_q	R_Mapping_q_sd	R_Mapping_pro	R_Mapping_10_percentile	R_Mapping_90_percentile	R_Soft	R_Soft_sd	R_Soft_pro	R_Soft_10_percentile	R_Soft_90_percentile	R_Del	R_Del_sd	R_Del_10_percentile	R_Del_90_percentile	R_Ins	R_Ins_sd	R_Ins_10_percentile	R_Ins_90_percentile	R_Diff	R_Diff_sd	R_Diff_10_percentile	R_Diff_90_percentile
1	1	82838	91667	8829	2	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0.002152	40	0.00453	0.400453	0.654134	0.02684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	2041460	2041556	96	0	asm	3	0	1	42	31.176915	0	6	60	15	25.980762	0.333333	0	45	82.333333	76.787586	0	152	2	1.732051	0	3	-80.333333	75.182001	-149	0	1.061224	0.346301	1	42	31.176915	0	6	60	15	25.980762	0.333333	0	45	82.333333	76.787586	0	152	2	1.732051	0	3	-80.333333	75.182001	-149	0	1.061224	0.346301	1	42	31.176915	0	6	60	15	25.980762	0.333333	0	45	82.333333	76.787586	0	152	2	1.732051	0	3	-80.333333	75.182001	-149	0	0	1	0.010309	0	0	0.618557	0	0	1.061224	0.346301	1	42	31.176915	0	6	60	15	25.980762	0.333333	0	45	82.333333	76.787586	0	152	2	1.732051	0	3	-80.333333	75.182001	-149	0	2.749288	0.434042	1	46.5	27	0	6	60	11.25	22.5	0.25	0	45	61.75	75.003889	0	152	2.25	1.5	0	3	-59.5	74.191194	-149	3
3	1	2566130	2566582	452	1	yes	0	0	0	60	0	0	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.011038	0.591612	0	0	0	0	0	60	0	0	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.664756	0.472753	1	60	0	0	60	60	167.333333	285.510654	0.333333	0	497	0	0	0	0	0	0	0	0	0	0	0	0
4	1	2911536	2911850	314	1	asm	28.274286	1.874018	0	60	0	0	60	60	487.647059	919.68802	0.323529	0	2102	0.5	1.41956	0	3	2.088235	4.851539	0	4	1.588235	4.930533	0	4	7.373418	4.28135	0.487342	57.931034	11.14172	0.034483	60	60	571.724138	973.180753	0.37931	0	2258	0.724138	1.645265	0	4	1.896552	5.198522	0	14	1.172414	5.345686	-4	10	7.373418	4.28135	0.487342	57.931034	11.14172	0.034483	60	60	571.724138	973.180753	0.37931	0	2258	0.724138	1.645265	0	4	1.896552	5.198522	0	14	1.172414	5.345686	-4	10	0	1	0.003175	0	0	0.542857	1	0	7.373418	4.28135	0.487342	57.931034	11.14172	0.034483	60	60	571.724138	973.180753	0.37931	0	2258	0.724138	1.645265	0	4	1.896552	5.198522	0	14	1.172414	5.345686	-4	10	8.25641	0.933386	0.002849	60	0	0	60	60	473.047619	1083.316689	0.190476	0	2177	2.333333	5.825232	0	4	0	0	0	0	-2.333333	5.825232	-4	0
5	1	2919031	2919366	335	1	yes	5.151429	0.358979	0.848571	53.25	19.091883	0	6	60	286.5	532.869054	0.25	0	1240	6.5	8.468429	0	18	0.375	0.517549	0	1	-6.125	8.236461	-17	1	4.234421	0.458	0.985163	54	18	0	6	60	254.666667	507.519458	0.222222	0	1240	6	8.062258	0	18	0.333333	0.5	0	1	-5.666667	7.826238	-17	1	4.234421	0.458	0.985163	54	18	0	6	60	254.666667	507.519458	0.222222	0	1240	6	8.062258	0	18	0.333333	0.5	0	1	-5.666667	7.826238	-17	1	0	0	0	0	0	0.589286	0.872024	0	4.234421	0.458	0.985163	54	18	0	6	60	254.666667	507.519458	0.222222	0	1240	6	8.062258	0	18	0.333333	0.5	0	1	-5.666667	7.826238	-17	1	8.034188	1.206636	0.002849	60	0	0	60	60	80.583333	189.579659	0.166667	0	430	0.583333	0.900337	0	2	0.083333	0.288675	0	0	-0.5	1	-2	0
6	1	7570071	7571526	1455	2	yes	12.611429	0.488123	0	60	0	0	60	60	116.809524	314.199557	0.142857	0	421	4.47619	16.63015	0	2	0	0	0	0	-4.47619	16.63015	-2	0	12.290598	1.609223	0	60	0	0	60	60	106.652174	301.461834	0.130435	0	421	5.73913	17.370867	0	13	0	0	0	0	-5.73913	17.370867	-13	0	14.354839	1.50127	0	60	0	0	60	60	98.12	290.134498	0.12	0	421	8.32	21.834071	0	38	0	0	0	0	-8.32	21.834071	-38	0	0	0	0	3	0.00206	0.504121	0.134615	0	14.698006	0.459778	0	60	0	0	60	60	0	0	0	0	0	12.933333	27.376911	0	76	0	0	0	0	-12.933333	27.376911	-76	0	19.982906	0.320256	0	60	0	0	60	60	452.090909	833.789736	0.272727	0	1597	17.181818	29.889696	0	76	0	0	0	0	-17.181818	29.889696	-76	0
7	1	9595612	9597666	2054	2	yes	6.994286	0.075485	0	60	0	0	60	60	99.25	280.721392	0.125	0	794	0.875	1.457738	0	4	0	0	0	0	-0.875	1.457738	-4	0	5.099715	0.32737	0.908832	60	0	0	60	60	99.25	280.721392	0.125	0	794	0.875	1.457738	0	4	0	0	0	0	-0.875	1.457738	-4	0	3.057879	1.707877	0.984436	60	0	0	60	60	72.181818	239.400008	0.090909	0	0	1	1.264911	0	2	0.363636	1.206045	0	0	-0.636364	1.501514	-2	0	0	0	0	8	0.003893	0.445255	0.899757	0.021898	1.387464	0.487867	1	60	0	0	60	60	0	0	0	0	0	1.333333	0.57735	1	2	1.333333	2.309401	0	4	0	1.732051	-1	2	2.991453	0.092186	1	60	0	0	60	60	0	0	0	0	0	1	0.816497	0	2	1	2	0	4	0	1.414214	-1	2
8	1	10482480	10483779	1299	2	yes	11.794286	0.574503	0.002857	60	0	0	60	60	113.714286	251.649765	0.285714	0	383	3.071429	3.689158	0	9	0.428571	0.646206	0	1	-2.642857	3.835204	-8	1	9.404558	1.042734	0	60	0	0	60	60	99.5	237.471121	0.25	0	383	2.8125	3.506542	0	9	0.5	0.632456	0	1	-2.3125	3.68273	-8	1	9.684089	0.703377	0	60	0	0	60	60	143.272727	367.442666	0.272727	0	383	2.227273	3.176278	0	8	0.545455	0.670982	0	1	-1.681818	3.357811	-8	1	0	0	0	7	0.005385	0.512308	0.706154	0	10.062678	0.348962	0	60	0	0	60	60	104	389.171281	0.133333	0	50	1.266667	2.313521	0	3	0.8	0.676123	0	2	-0.466667	2.294922	-2	1	12.74359	0.437274	0	60	0	0	60	60	97.5	376.8731	0.125	0	50	1.25	2.236068	0	3	0.8125	0.655108	0	2	-0.4375	2.220173	-2	1
9	1	11682893	11683189	296	1	asm	18.782857	0.86229	0	60	0	0	60	60	212.136364	584.978412	0.409091	0	414	0.5	1.224745	0	2	1	1.511858	0	3	0.5	1.81921	-1	3	8.724832	1.004093	0	60	0	0	60	60	245.631579	624.938771	0.473684	0	515	0.578947	1.304513	0	4	1	1.527525	0	3	0.421053	1.86535	-2	3	8.724832	1.004093	0	60	0	0	60	60	245.631579	624.938771	0.473684	0	515	0.578947	1.304513	0	4	1	1.527525	0	3	0.421053	1.86535	-2	3	0	0	0	0	0	0.555556	0.13468	0	8.724832	1.004093	0	60	0	0	60	60	245.631579	624.938771	0.473684	0	515	0.578947	1.304513	0	4	1	1.527525	0	3	0.421053	1.86535	-2	3	7.319088	0.484804	0.002849	60	0	0	60	60	1.388889	5.892557	0.055556	0	0	0.444444	1.041618	0	2	0.277778	0.826442	0	2	-0.166667	1.339447	-2	1
10	1	13419174	13419574	400	1	asm	20.282857	0.451032	0	0	0	1	0	0	12.6	56.940138	0.1	0	0	0.6	1.003442	0	2	1.166667	1.116748	0	3	0.566667	1.194335	-1	2	19.612536	0.780668	0	0	0	1	0	0	13.034483	57.897374	0.103448	0	13	0.62069	1.014671	0	2	1.103448	1.080503	0	3	0.482759	1.121883	-1	2	19.310945	1.08737	0	0	0	1	0	0	13.034483	57.897374	0.103448	0	13	0.62069	1.014671	0	2	1.103448	1.080503	0	3	0.482759	1.121883	-1	2	1	0	0	0	0	0.376559	0.698254	0	19.210826	1.129347	0	0	0	1	0	0	18.9	69.449641	0.15	0	13	0.7	1.128576	0	2	1.45	1.099043	0	3	0.75	1.251315	-1	2	17	0	0	0	0	1	0	0	22.235294	75.158607	0.176471	0	56	0.764706	1.20049	0	3	1.705882	0.985184	0	3	0.941176	1.248529	-1	3
