variant	sample	allele	key	value
Deletion::1:145,092,949-145,097,090(4141)	1	alt	count	659
Deletion::1:145,092,949-145,097,090(4141)	1	amb	count	6114
Deletion::1:145,092,949-145,097,090(4141)	1	ref	count	3006
Deletion::1:145,092,949-145,097,090(4141)	1	alt	reason_alignmentScore	226
Deletion::1:145,092,949-145,097,090(4141)	1	alt	reason_insertSizeScore	433
Deletion::1:145,092,949-145,097,090(4141)	1	amb	reason_alignmentScore_alignmentScore	874
Deletion::1:145,092,949-145,097,090(4141)	1	amb	reason_multimapping	2788
Deletion::1:145,092,949-145,097,090(4141)	1	amb	reason_orientation_alignmentScore	7
Deletion::1:145,092,949-145,097,090(4141)	1	amb	reason_orientation_orientation	6
Deletion::1:145,092,949-145,097,090(4141)	1	amb	reason_same_scores	2439
Deletion::1:145,092,949-145,097,090(4141)	1	ref	reason_alignmentScore	3006
Deletion::1:145,092,949-145,097,090(4141)	1	alt	alnScore_mean	376.810318665
Deletion::1:145,092,949-145,097,090(4141)	1	alt	alnScore_std	15.8134654705
Deletion::1:145,092,949-145,097,090(4141)	1	amb	alnScore_mean	374.764311416
Deletion::1:145,092,949-145,097,090(4141)	1	amb	alnScore_std	46.1847128652
Deletion::1:145,092,949-145,097,090(4141)	1	ref	alnScore_mean	397.911842981
Deletion::1:145,092,949-145,097,090(4141)	1	ref	alnScore_std	7.37015881656
Deletion::1:145,092,949-145,097,090(4141)	1	alt	insertSize_mean	331.661608498
Deletion::1:145,092,949-145,097,090(4141)	1	alt	insertSize_std	67.1892164136
Deletion::1:145,092,949-145,097,090(4141)	1	amb	insertSize_mean	598.804383382
Deletion::1:145,092,949-145,097,090(4141)	1	amb	insertSize_std	899.825985071
Deletion::1:145,092,949-145,097,090(4141)	1	ref	insertSize_mean	319.607784431
Deletion::1:145,092,949-145,097,090(4141)	1	ref	insertSize_std	71.4259769662
Deletion::1:158,867,534-158,870,025(2491)	1	alt	count	71
Deletion::1:158,867,534-158,870,025(2491)	1	amb	count	1357
Deletion::1:158,867,534-158,870,025(2491)	1	ref	count	42
Deletion::1:158,867,534-158,870,025(2491)	1	alt	reason_insertSizeScore	71
Deletion::1:158,867,534-158,870,025(2491)	1	amb	reason_alignmentScore_alignmentScore	299
Deletion::1:158,867,534-158,870,025(2491)	1	amb	reason_multimapping	172
Deletion::1:158,867,534-158,870,025(2491)	1	amb	reason_insertSizeScore_alignmentScore	43
Deletion::1:158,867,534-158,870,025(2491)	1	amb	reason_orientation_orientation	22
Deletion::1:158,867,534-158,870,025(2491)	1	amb	reason_same_scores	821
Deletion::1:158,867,534-158,870,025(2491)	1	ref	reason_alignmentScore	42
Deletion::1:158,867,534-158,870,025(2491)	1	alt	alnScore_mean	381.070422535
Deletion::1:158,867,534-158,870,025(2491)	1	alt	alnScore_std	10.4454639305
Deletion::1:158,867,534-158,870,025(2491)	1	amb	alnScore_mean	345.903463522
Deletion::1:158,867,534-158,870,025(2491)	1	amb	alnScore_std	59.885412281
Deletion::1:158,867,534-158,870,025(2491)	1	ref	alnScore_mean	370.142857143
Deletion::1:158,867,534-158,870,025(2491)	1	ref	alnScore_std	5.50571749821
Deletion::1:158,867,534-158,870,025(2491)	1	alt	insertSize_mean	304.450704225
Deletion::1:158,867,534-158,870,025(2491)	1	alt	insertSize_std	65.5494198538
Deletion::1:158,867,534-158,870,025(2491)	1	amb	insertSize_mean	740.291820192
Deletion::1:158,867,534-158,870,025(2491)	1	amb	insertSize_std	925.768807729
Deletion::1:158,867,534-158,870,025(2491)	1	ref	insertSize_mean	327.547619048
Deletion::1:158,867,534-158,870,025(2491)	1	ref	insertSize_std	64.8357640801
